Left Front Pressure,Right Front Pressure,Left Front Condition,Right Front Condition,Left Rear Pressure,Right Rear Pressure,Left Rear Condition,Right Rear Condition,Battery Water Level,Battery Condition,Battery Leak,Battery Replacement Date,Rust/Dent/ Damage Exterior,Oil Leak in Suspension,Brake Fluid Level,Brake Condition Front,Brake Condition Rear,Emergency Brake,Rust/Dent/Damage Engine,Engine Oil Condition,Engine Oil Color,Brake Fluid Condition,Brake Fluid Color,Oil Leak in Engine,Total Costing
25,28,Needs Replacement,Needs Replacement,32,29,Ok,Good,Low,Damaged,Y,9,N,N,Ok,Needs Replacement,Needs Replacement,Good,Y,Good,Brown,Good,Brown,Y,155000
33,32,Ok,Good,34,32,Good,Ok,Ok,Damaged,Y,4,N,N,Low,Good,Good,Good,N,Good,Clean,Bad,Black,Y,100000
34,31,Ok,Ok,29,26,Needs Replacement,Needs Replacement,Low,Ok,N,5,N,Y,Ok,Good,Needs Replacement,Ok,N,Good,Brown,Good,Black,Y,85000
33,29,Ok,Needs Replacement,34,33,Good,Ok,Low,Damaged,Y,5,N,Y,Good,Needs Replacement,Needs Replacement,Ok,Y,Bad,Clean,Bad,Clean,N,160000
28,25,Ok,Needs Replacement,25,27,Ok,Needs Replacement,Good,Damaged,N,3,N,N,Low,Good,Ok,Good,Y,Bad,Clean,Good,Clean,N,100000
32,31,Needs Replacement,Ok,25,26,Ok,Needs Replacement,Low,Ok,Y,7,Y,Y,Good,Good,Ok,Good,N,Good,Black,Good,Clean,Y,125000
34,25,Good,Needs Replacement,33,29,Needs Replacement,Needs Replacement,Ok,Damaged,N,6,N,Y,Good,Needs Replacement,Needs Replacement,Low,Y,Good,Black,Good,Brown,N,150000
29,27,Ok,Needs Replacement,27,33,Good,Good,Low,Ok,Y,6,N,N,Ok,Needs Replacement,Ok,Good,Y,Good,Black,Good,Brown,N,110000
25,33,Good,Good,33,27,Needs Replacement,Needs Replacement,Good,Ok,N,9,N,Y,Low,Ok,Ok,Ok,N,Bad,Black,Bad,Black,N,115000
32,26,Ok,Ok,25,29,Ok,Good,Good,Ok,Y,8,Y,N,Ok,Good,Needs Replacement,Ok,N,Bad,Brown,Good,Black,Y,105000
25,31,Good,Needs Replacement,26,31,Needs Replacement,Ok,Ok,Ok,N,9,N,Y,Low,Needs Replacement,Ok,Low,Y,Good,Brown,Good,Brown,Y,130000
31,31,Ok,Needs Replacement,34,28,Good,Good,Low,Ok,Y,7,N,N,Ok,Good,Good,Ok,Y,Good,Clean,Good,Black,Y,105000
30,27,Ok,Needs Replacement,26,33,Good,Ok,Ok,Ok,N,9,Y,Y,Low,Ok,Needs Replacement,Ok,N,Bad,Clean,Bad,Black,N,125000
25,27,Good,Good,33,32,Ok,Good,Good,Ok,N,1,N,N,Ok,Good,Needs Replacement,Low,Y,Good,Brown,Good,Brown,Y,70000
31,28,Ok,Good,30,28,Needs Replacement,Good,Low,Ok,Y,7,N,Y,Ok,Ok,Ok,Low,N,Bad,Clean,Good,Clean,Y,120000
27,31,Ok,Needs Replacement,26,34,Ok,Good,Ok,Ok,Y,2,N,N,Good,Ok,Good,Ok,N,Bad,Black,Bad,Clean,N,85000
25,28,Ok,Good,29,31,Ok,Needs Replacement,Ok,Ok,Y,2,N,N,Low,Needs Replacement,Ok,Ok,Y,Bad,Clean,Bad,Clean,N,110000
32,28,Needs Replacement,Ok,32,33,Ok,Ok,Ok,Damaged,N,8,Y,Y,Ok,Needs Replacement,Ok,Good,N,Good,Clean,Bad,Black,Y,125000
26,31,Good,Needs Replacement,28,29,Good,Ok,Low,Damaged,N,2,Y,N,Low,Good,Good,Low,Y,Good,Clean,Bad,Brown,Y,130000
33,30,Needs Replacement,Needs Replacement,33,25,Ok,Ok,Ok,Damaged,N,7,N,Y,Good,Needs Replacement,Ok,Ok,N,Bad,Brown,Good,Brown,N,120000
26,28,Ok,Good,32,33,Needs Replacement,Good,Good,Damaged,N,1,N,Y,Good,Good,Good,Good,Y,Good,Brown,Bad,Clean,Y,100000
30,29,Ok,Needs Replacement,34,28,Needs Replacement,Ok,Good,Ok,N,2,Y,Y,Good,Needs Replacement,Good,Good,N,Good,Clean,Bad,Clean,N,75000
31,29,Ok,Needs Replacement,28,31,Good,Needs Replacement,Ok,Damaged,N,4,N,N,Ok,Needs Replacement,Ok,Good,N,Bad,Clean,Bad,Brown,N,90000
28,30,Needs Replacement,Needs Replacement,27,25,Good,Ok,Low,Damaged,Y,1,Y,Y,Low,Needs Replacement,Good,Low,N,Bad,Black,Good,Black,Y,170000
29,31,Needs Replacement,Good,34,30,Needs Replacement,Needs Replacement,Ok,Damaged,Y,2,N,N,Good,Needs Replacement,Good,Low,N,Bad,Clean,Bad,Clean,N,135000
34,31,Needs Replacement,Needs Replacement,31,29,Ok,Good,Good,Ok,N,7,Y,Y,Good,Ok,Ok,Low,N,Good,Black,Bad,Brown,N,95000
28,30,Good,Needs Replacement,29,28,Good,Ok,Ok,Ok,Y,3,N,Y,Good,Needs Replacement,Needs Replacement,Good,N,Good,Clean,Good,Black,N,70000
28,34,Ok,Good,25,29,Good,Needs Replacement,Ok,Damaged,N,7,N,Y,Ok,Ok,Needs Replacement,Ok,N,Good,Black,Good,Brown,N,90000
32,31,Ok,Needs Replacement,28,32,Needs Replacement,Good,Good,Damaged,N,7,N,N,Good,Good,Good,Good,N,Bad,Clean,Good,Clean,Y,95000
30,25,Ok,Ok,32,26,Good,Needs Replacement,Ok,Damaged,N,5,Y,Y,Good,Ok,Good,Low,Y,Good,Black,Bad,Black,N,110000
32,32,Good,Good,32,34,Ok,Ok,Good,Ok,N,6,Y,N,Good,Ok,Good,Ok,N,Bad,Black,Good,Clean,Y,70000
31,34,Good,Ok,33,28,Good,Good,Ok,Damaged,N,8,Y,N,Good,Good,Ok,Low,N,Good,Black,Bad,Black,Y,110000
31,32,Needs Replacement,Needs Replacement,27,28,Good,Ok,Low,Ok,N,6,Y,N,Low,Good,Needs Replacement,Good,N,Bad,Clean,Bad,Black,N,125000
29,29,Needs Replacement,Needs Replacement,34,25,Needs Replacement,Ok,Ok,Damaged,Y,2,N,Y,Low,Needs Replacement,Good,Low,N,Bad,Black,Good,Black,Y,160000
32,34,Needs Replacement,Ok,25,28,Needs Replacement,Good,Good,Ok,N,9,N,N,Low,Good,Good,Ok,N,Bad,Black,Good,Black,N,80000
30,31,Needs Replacement,Ok,28,34,Needs Replacement,Needs Replacement,Ok,Ok,Y,2,N,N,Good,Good,Good,Good,Y,Good,Black,Good,Clean,N,80000
29,26,Good,Ok,28,32,Good,Good,Low,Ok,N,8,Y,Y,Good,Ok,Ok,Good,Y,Good,Black,Bad,Clean,Y,110000
28,32,Ok,Ok,25,33,Ok,Ok,Low,Ok,N,2,N,Y,Ok,Good,Needs Replacement,Low,N,Bad,Brown,Good,Brown,N,75000
28,33,Needs Replacement,Ok,27,33,Ok,Needs Replacement,Ok,Ok,Y,8,Y,N,Low,Ok,Ok,Low,Y,Bad,Brown,Good,Brown,Y,160000
26,32,Good,Good,33,25,Good,Good,Good,Damaged,Y,7,Y,Y,Good,Good,Needs Replacement,Ok,N,Bad,Clean,Good,Clean,N,125000
29,30,Needs Replacement,Ok,33,30,Good,Good,Low,Ok,Y,5,N,N,Ok,Good,Needs Replacement,Ok,Y,Bad,Black,Bad,Clean,N,110000
31,32,Needs Replacement,Needs Replacement,26,33,Good,Ok,Good,Damaged,Y,3,Y,N,Low,Good,Good,Low,Y,Bad,Black,Good,Black,Y,150000
32,31,Good,Good,27,27,Ok,Needs Replacement,Ok,Damaged,Y,2,Y,Y,Good,Needs Replacement,Good,Low,N,Good,Clean,Good,Black,N,110000
28,29,Ok,Needs Replacement,31,26,Ok,Needs Replacement,Ok,Damaged,Y,7,N,Y,Good,Ok,Ok,Good,N,Good,Black,Good,Clean,N,105000
26,25,Ok,Needs Replacement,33,29,Needs Replacement,Needs Replacement,Ok,Ok,N,2,N,Y,Ok,Ok,Ok,Ok,Y,Good,Black,Good,Clean,Y,95000
27,27,Good,Needs Replacement,34,28,Good,Ok,Ok,Ok,N,6,Y,N,Low,Needs Replacement,Needs Replacement,Good,N,Bad,Clean,Good,Black,N,110000
29,26,Needs Replacement,Ok,28,29,Needs Replacement,Needs Replacement,Good,Ok,N,9,N,N,Low,Ok,Good,Ok,N,Good,Brown,Bad,Clean,Y,100000
28,34,Good,Good,34,28,Ok,Needs Replacement,Low,Damaged,N,4,N,N,Good,Good,Good,Low,N,Good,Brown,Good,Brown,N,70000
25,29,Needs Replacement,Ok,26,29,Needs Replacement,Ok,Ok,Damaged,N,6,Y,N,Low,Good,Needs Replacement,Low,N,Good,Brown,Good,Clean,Y,135000
34,27,Needs Replacement,Good,26,30,Needs Replacement,Ok,Good,Damaged,Y,1,N,N,Low,Ok,Ok,Good,N,Bad,Black,Good,Brown,N,105000
31,29,Needs Replacement,Ok,31,33,Good,Ok,Low,Damaged,N,9,Y,N,Good,Ok,Ok,Good,Y,Bad,Brown,Bad,Brown,N,130000
25,33,Needs Replacement,Ok,27,25,Needs Replacement,Ok,Ok,Ok,Y,5,Y,Y,Ok,Good,Ok,Good,N,Good,Clean,Good,Black,Y,105000
28,30,Ok,Good,31,32,Good,Good,Ok,Damaged,Y,9,N,N,Low,Ok,Needs Replacement,Low,Y,Good,Black,Good,Brown,N,115000
29,32,Good,Ok,34,29,Good,Ok,Good,Damaged,Y,2,Y,N,Ok,Good,Ok,Good,N,Bad,Brown,Good,Clean,Y,90000
29,32,Needs Replacement,Good,34,31,Ok,Good,Ok,Damaged,Y,4,N,Y,Ok,Ok,Ok,Good,N,Good,Brown,Good,Clean,N,75000
32,29,Needs Replacement,Needs Replacement,25,25,Ok,Good,Low,Ok,Y,3,N,Y,Ok,Good,Good,Low,Y,Bad,Clean,Bad,Brown,Y,150000
33,31,Ok,Needs Replacement,33,32,Good,Needs Replacement,Ok,Ok,N,4,Y,N,Ok,Good,Ok,Low,Y,Bad,Black,Bad,Clean,Y,120000
28,27,Ok,Needs Replacement,33,28,Good,Needs Replacement,Low,Damaged,Y,9,Y,Y,Good,Ok,Needs Replacement,Ok,N,Good,Clean,Bad,Black,N,155000
32,28,Good,Good,27,30,Good,Needs Replacement,Good,Damaged,Y,3,Y,N,Low,Ok,Needs Replacement,Ok,N,Bad,Brown,Bad,Clean,Y,135000
29,34,Ok,Ok,31,31,Good,Good,Low,Damaged,Y,7,N,N,Ok,Needs Replacement,Needs Replacement,Good,Y,Bad,Black,Bad,Brown,N,150000
34,28,Good,Ok,29,28,Needs Replacement,Good,Ok,Ok,Y,3,N,N,Low,Needs Replacement,Good,Low,Y,Good,Black,Good,Clean,N,90000
29,29,Needs Replacement,Good,34,27,Good,Needs Replacement,Ok,Ok,Y,6,N,N,Low,Good,Needs Replacement,Low,Y,Good,Clean,Good,Clean,N,125000
29,33,Needs Replacement,Needs Replacement,30,30,Ok,Ok,Low,Damaged,N,1,Y,N,Low,Good,Needs Replacement,Ok,N,Bad,Brown,Bad,Brown,N,125000
34,33,Good,Needs Replacement,28,29,Ok,Needs Replacement,Ok,Damaged,Y,3,N,N,Ok,Needs Replacement,Good,Low,Y,Bad,Clean,Bad,Black,Y,160000
26,30,Good,Ok,34,31,Needs Replacement,Needs Replacement,Low,Ok,Y,8,Y,N,Low,Ok,Needs Replacement,Low,N,Bad,Clean,Good,Black,Y,160000
25,29,Good,Ok,33,31,Good,Good,Good,Damaged,N,3,Y,Y,Low,Ok,Good,Good,Y,Bad,Clean,Good,Black,Y,110000
30,34,Needs Replacement,Needs Replacement,26,33,Ok,Ok,Low,Damaged,N,6,Y,N,Good,Good,Ok,Ok,N,Bad,Brown,Good,Black,Y,135000
27,30,Needs Replacement,Ok,31,26,Ok,Ok,Ok,Damaged,N,8,N,N,Good,Ok,Needs Replacement,Low,N,Bad,Brown,Bad,Clean,Y,135000
34,25,Ok,Good,27,30,Needs Replacement,Needs Replacement,Good,Damaged,Y,8,Y,N,Good,Good,Needs Replacement,Ok,Y,Good,Clean,Bad,Clean,Y,165000
27,25,Needs Replacement,Ok,26,32,Needs Replacement,Needs Replacement,Good,Ok,N,1,Y,Y,Low,Good,Needs Replacement,Ok,N,Good,Brown,Good,Black,N,90000
29,31,Needs Replacement,Good,34,30,Needs Replacement,Good,Ok,Damaged,N,6,N,Y,Good,Needs Replacement,Needs Replacement,Ok,Y,Good,Black,Good,Black,N,120000
29,33,Ok,Ok,32,26,Good,Needs Replacement,Low,Ok,Y,6,N,Y,Ok,Ok,Good,Low,N,Bad,Brown,Bad,Brown,Y,145000
27,26,Needs Replacement,Good,26,30,Ok,Needs Replacement,Ok,Ok,Y,9,N,Y,Low,Good,Ok,Low,Y,Good,Black,Good,Black,Y,145000
33,32,Ok,Needs Replacement,30,29,Needs Replacement,Needs Replacement,Low,Damaged,N,4,Y,N,Good,Needs Replacement,Good,Ok,N,Bad,Clean,Good,Black,N,110000
31,27,Needs Replacement,Ok,27,27,Good,Ok,Good,Damaged,N,3,Y,N,Ok,Good,Good,Low,Y,Good,Brown,Good,Black,N,85000
30,31,Ok,Needs Replacement,29,32,Good,Needs Replacement,Good,Ok,N,7,N,Y,Low,Ok,Needs Replacement,Good,N,Bad,Clean,Bad,Brown,N,105000
26,28,Needs Replacement,Ok,26,29,Good,Needs Replacement,Ok,Ok,Y,1,Y,Y,Ok,Needs Replacement,Good,Ok,Y,Good,Black,Bad,Brown,N,120000
30,25,Ok,Needs Replacement,31,29,Ok,Ok,Ok,Ok,Y,5,Y,N,Low,Needs Replacement,Needs Replacement,Low,Y,Good,Black,Good,Black,N,110000
26,27,Ok,Ok,27,29,Good,Good,Ok,Damaged,Y,5,N,N,Low,Ok,Good,Good,N,Bad,Brown,Bad,Brown,Y,120000
30,25,Needs Replacement,Good,31,27,Needs Replacement,Ok,Ok,Ok,N,6,Y,Y,Good,Ok,Needs Replacement,Good,N,Good,Clean,Good,Clean,Y,105000
29,25,Ok,Needs Replacement,34,31,Ok,Needs Replacement,Good,Ok,Y,9,N,N,Low,Needs Replacement,Good,Ok,N,Bad,Brown,Good,Clean,N,110000
29,33,Ok,Needs Replacement,30,30,Good,Good,Good,Damaged,N,8,Y,N,Low,Ok,Good,Ok,Y,Bad,Black,Bad,Brown,Y,140000
31,30,Good,Ok,33,31,Ok,Needs Replacement,Good,Ok,Y,4,Y,Y,Low,Needs Replacement,Ok,Low,N,Bad,Brown,Good,Clean,N,105000
34,30,Needs Replacement,Good,27,34,Ok,Good,Good,Ok,Y,6,N,N,Low,Needs Replacement,Ok,Ok,N,Good,Clean,Good,Brown,Y,105000
26,25,Needs Replacement,Needs Replacement,25,29,Ok,Ok,Good,Damaged,N,7,Y,N,Good,Good,Needs Replacement,Ok,Y,Good,Clean,Bad,Black,Y,145000
27,30,Good,Good,31,33,Good,Needs Replacement,Low,Damaged,N,6,N,Y,Low,Needs Replacement,Needs Replacement,Low,Y,Bad,Brown,Bad,Clean,Y,190000
28,26,Ok,Good,28,30,Good,Good,Ok,Ok,Y,1,Y,Y,Good,Good,Needs Replacement,Low,N,Good,Brown,Good,Brown,N,75000
26,25,Ok,Needs Replacement,25,33,Needs Replacement,Good,Good,Ok,Y,8,Y,Y,Good,Ok,Good,Good,N,Good,Brown,Bad,Black,N,120000
25,27,Good,Ok,26,31,Ok,Ok,Low,Damaged,N,8,Y,Y,Ok,Needs Replacement,Needs Replacement,Good,Y,Good,Black,Good,Black,N,130000
31,33,Ok,Good,26,31,Needs Replacement,Ok,Good,Ok,N,8,N,N,Good,Good,Needs Replacement,Low,Y,Good,Brown,Good,Brown,Y,95000
26,29,Good,Good,26,32,Ok,Ok,Ok,Damaged,N,6,N,Y,Good,Ok,Needs Replacement,Low,N,Bad,Brown,Bad,Brown,Y,135000
30,25,Needs Replacement,Good,30,33,Good,Good,Low,Damaged,N,7,N,N,Good,Ok,Ok,Low,N,Bad,Brown,Good,Clean,Y,120000
32,33,Ok,Needs Replacement,33,25,Good,Ok,Ok,Ok,N,2,Y,Y,Good,Good,Needs Replacement,Low,N,Bad,Clean,Bad,Clean,Y,120000
30,31,Good,Ok,30,34,Good,Needs Replacement,Low,Ok,Y,4,Y,Y,Good,Good,Ok,Ok,Y,Good,Clean,Bad,Black,Y,120000
25,30,Ok,Needs Replacement,32,28,Good,Good,Good,Ok,N,4,N,N,Good,Good,Ok,Low,Y,Good,Brown,Good,Brown,N,45000
26,34,Ok,Needs Replacement,34,34,Ok,Ok,Good,Ok,N,3,Y,N,Low,Ok,Ok,Low,N,Good,Black,Good,Black,N,65000
27,25,Good,Ok,26,32,Good,Good,Ok,Damaged,N,9,N,Y,Ok,Needs Replacement,Good,Low,Y,Bad,Clean,Bad,Black,N,140000
27,33,Ok,Needs Replacement,33,25,Needs Replacement,Ok,Ok,Damaged,Y,9,Y,Y,Low,Needs Replacement,Needs Replacement,Low,Y,Bad,Black,Bad,Black,Y,230000
26,26,Needs Replacement,Good,27,26,Needs Replacement,Ok,Low,Damaged,N,5,N,N,Good,Needs Replacement,Good,Good,N,Good,Clean,Bad,Brown,N,105000
27,28,Good,Good,31,27,Good,Good,Good,Ok,Y,1,N,N,Ok,Needs Replacement,Needs Replacement,Good,Y,Bad,Clean,Bad,Brown,N,100000
31,34,Needs Replacement,Good,27,31,Needs Replacement,Ok,Ok,Damaged,Y,4,N,Y,Low,Good,Good,Low,N,Good,Clean,Bad,Clean,Y,140000
29,25,Needs Replacement,Ok,31,27,Ok,Needs Replacement,Low,Ok,N,3,N,Y,Good,Needs Replacement,Good,Good,Y,Good,Clean,Good,Brown,N,85000
33,30,Ok,Good,26,29,Good,Ok,Low,Ok,N,8,N,N,Low,Ok,Ok,Good,Y,Good,Black,Good,Brown,N,75000
33,28,Ok,Needs Replacement,28,32,Good,Ok,Ok,Ok,N,2,N,N,Good,Needs Replacement,Good,Ok,Y,Good,Clean,Good,Brown,N,50000
28,29,Ok,Ok,26,29,Needs Replacement,Ok,Good,Damaged,Y,4,N,N,Low,Needs Replacement,Ok,Low,Y,Bad,Black,Good,Brown,Y,135000
34,25,Good,Ok,34,33,Good,Good,Good,Damaged,N,4,Y,N,Low,Good,Good,Low,N,Good,Black,Good,Clean,Y,90000
25,26,Ok,Needs Replacement,33,33,Good,Needs Replacement,Good,Damaged,N,7,Y,Y,Ok,Ok,Ok,Ok,Y,Good,Black,Good,Black,N,120000
30,32,Good,Ok,26,32,Needs Replacement,Ok,Good,Damaged,Y,7,N,Y,Good,Needs Replacement,Needs Replacement,Good,Y,Bad,Black,Bad,Clean,N,155000
25,25,Good,Needs Replacement,29,28,Good,Ok,Good,Damaged,N,3,N,N,Ok,Needs Replacement,Good,Ok,N,Good,Brown,Good,Brown,N,55000
33,29,Good,Needs Replacement,33,29,Good,Good,Low,Ok,N,7,N,N,Low,Ok,Needs Replacement,Ok,Y,Bad,Brown,Bad,Clean,Y,140000
26,31,Good,Ok,30,25,Good,Ok,Ok,Damaged,N,4,N,Y,Low,Needs Replacement,Ok,Good,Y,Good,Black,Good,Brown,Y,100000
29,28,Ok,Good,27,27,Good,Ok,Low,Ok,N,2,N,Y,Ok,Ok,Good,Good,N,Good,Clean,Good,Clean,Y,55000
26,33,Needs Replacement,Needs Replacement,25,29,Ok,Needs Replacement,Good,Ok,Y,4,Y,N,Ok,Ok,Good,Low,N,Bad,Clean,Good,Brown,Y,120000
28,31,Ok,Ok,32,30,Ok,Needs Replacement,Low,Damaged,N,6,Y,N,Ok,Needs Replacement,Good,Good,N,Bad,Black,Good,Black,Y,120000
30,26,Good,Ok,33,33,Needs Replacement,Good,Good,Damaged,N,7,Y,N,Low,Good,Ok,Good,N,Bad,Clean,Good,Clean,N,105000
32,30,Good,Ok,27,31,Needs Replacement,Ok,Low,Ok,Y,8,N,Y,Good,Ok,Needs Replacement,Low,N,Bad,Black,Good,Brown,Y,135000
34,29,Ok,Good,30,32,Ok,Ok,Ok,Damaged,Y,6,Y,N,Ok,Needs Replacement,Needs Replacement,Low,N,Bad,Brown,Good,Brown,N,130000
25,25,Ok,Needs Replacement,25,28,Ok,Needs Replacement,Low,Damaged,Y,2,Y,N,Ok,Good,Good,Low,Y,Bad,Clean,Good,Brown,N,145000
27,32,Ok,Needs Replacement,29,30,Good,Good,Ok,Ok,N,1,N,N,Ok,Ok,Needs Replacement,Ok,Y,Good,Black,Bad,Clean,N,65000
25,33,Ok,Ok,32,32,Needs Replacement,Needs Replacement,Ok,Ok,Y,3,N,Y,Low,Needs Replacement,Good,Good,Y,Bad,Brown,Good,Brown,N,120000
34,26,Ok,Good,28,30,Needs Replacement,Needs Replacement,Ok,Ok,Y,6,Y,Y,Low,Good,Ok,Good,Y,Good,Clean,Good,Black,N,125000
30,29,Good,Needs Replacement,32,26,Needs Replacement,Needs Replacement,Low,Ok,N,8,Y,Y,Low,Needs Replacement,Needs Replacement,Low,Y,Bad,Clean,Good,Brown,N,165000
30,34,Ok,Needs Replacement,34,31,Ok,Good,Low,Ok,Y,6,N,N,Low,Needs Replacement,Needs Replacement,Ok,N,Bad,Brown,Good,Clean,N,125000
34,27,Good,Needs Replacement,30,29,Ok,Good,Ok,Ok,Y,4,N,N,Ok,Needs Replacement,Needs Replacement,Low,Y,Bad,Brown,Bad,Brown,N,125000
31,27,Ok,Good,31,28,Good,Needs Replacement,Ok,Ok,N,1,Y,N,Low,Ok,Needs Replacement,Low,N,Good,Black,Bad,Black,N,80000
30,33,Needs Replacement,Needs Replacement,31,33,Good,Good,Ok,Damaged,Y,5,N,N,Ok,Good,Ok,Ok,N,Bad,Black,Good,Clean,N,95000
26,30,Needs Replacement,Good,27,32,Needs Replacement,Ok,Good,Ok,N,8,N,Y,Good,Good,Needs Replacement,Good,Y,Good,Clean,Bad,Brown,Y,120000
30,30,Needs Replacement,Needs Replacement,31,28,Good,Good,Low,Ok,N,5,Y,N,Good,Ok,Good,Good,Y,Good,Black,Good,Black,N,65000
30,25,Good,Needs Replacement,28,29,Ok,Good,Ok,Ok,N,5,N,Y,Low,Ok,Good,Low,N,Good,Clean,Good,Clean,Y,70000
25,28,Ok,Good,27,28,Ok,Good,Good,Damaged,N,8,N,N,Good,Ok,Good,Good,Y,Good,Clean,Good,Brown,Y,85000
27,26,Needs Replacement,Good,31,25,Good,Good,Ok,Ok,N,3,N,Y,Good,Ok,Ok,Ok,N,Bad,Brown,Bad,Clean,Y,90000
30,28,Needs Replacement,Needs Replacement,29,26,Good,Needs Replacement,Ok,Ok,Y,8,Y,N,Ok,Ok,Ok,Low,N,Good,Clean,Good,Clean,Y,120000
26,34,Ok,Needs Replacement,30,34,Needs Replacement,Good,Low,Damaged,N,2,N,N,Ok,Needs Replacement,Good,Ok,N,Bad,Brown,Bad,Clean,Y,130000
31,32,Good,Needs Replacement,32,26,Ok,Ok,Good,Damaged,Y,5,N,Y,Good,Ok,Good,Ok,N,Bad,Brown,Bad,Clean,N,100000
34,26,Ok,Ok,30,28,Good,Needs Replacement,Ok,Damaged,N,1,N,Y,Good,Needs Replacement,Good,Ok,N,Bad,Black,Bad,Brown,N,100000
33,32,Needs Replacement,Good,30,29,Ok,Ok,Good,Ok,N,9,Y,N,Low,Needs Replacement,Needs Replacement,Ok,Y,Good,Brown,Good,Clean,Y,110000
29,26,Good,Needs Replacement,27,25,Ok,Good,Ok,Ok,Y,9,N,Y,Low,Ok,Needs Replacement,Ok,Y,Good,Black,Good,Brown,Y,135000
32,29,Ok,Ok,26,27,Good,Ok,Ok,Damaged,Y,9,Y,N,Ok,Needs Replacement,Good,Low,Y,Bad,Black,Bad,Clean,Y,170000
28,33,Good,Ok,34,28,Ok,Needs Replacement,Low,Ok,Y,2,N,Y,Ok,Ok,Ok,Good,N,Bad,Brown,Good,Clean,Y,100000
27,30,Ok,Needs Replacement,34,30,Good,Needs Replacement,Ok,Ok,N,4,Y,N,Low,Needs Replacement,Needs Replacement,Ok,N,Good,Brown,Bad,Clean,N,95000
25,30,Good,Needs Replacement,26,34,Needs Replacement,Ok,Good,Ok,N,3,N,N,Good,Needs Replacement,Ok,Ok,N,Good,Brown,Good,Clean,N,50000
26,29,Good,Needs Replacement,26,30,Good,Needs Replacement,Good,Ok,Y,8,N,N,Ok,Ok,Ok,Ok,Y,Bad,Clean,Bad,Clean,Y,135000
